coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_c,teach_if,teach_of,handle_veterans,handle_rookies,handle_players,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,opener,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,basecoach_value
16,"Nick","Leyva","",86,"1953-8-16",57383,206,164,177,1,31,2,0,0,0,0,0,0,0,0,0,0,0,0,77,31,103,106,93,120,122,166,0,0,0,0,0,1,0,3,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,1,-6,-1,1,-5,0,0,0,0,12,3,3,2,0,0,0,0,135,57,92,0,0,102
17,"Brandon","Buckman","",56,"1984-2-14",69896,206,205,198,5,0,5,0,27036,0,0,0,0,0,23,3,31,0,2,131,5,22,22,11,94,99,149,0,0,0,0,0,0,4,3,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,2,5,1,-4,1,-1,0,14,5,1,0,-9,7,3,-5,56,32,127,12,0,41
18,"Sam","Perlozzo","",89,"1951-3-4",16001,206,170,177,1,25,2,0,0,0,0,0,0,0,0,0,0,0,4,100,15,106,97,97,139,133,160,0,0,0,0,0,1,0,3,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,2,3,1,-1,-8,0,0,0,0,14,4,1,1,0,0,0,0,136,47,111,0,0,104
19,"Jaron","Madison","",64,"1975-11-1",18155,20,189,185,6,6,6,0,0,40,0,0,0,0,130,143,144,148,0,7,22,37,22,22,8,40,23,0,0,0,0,0,0,0,3,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,-1,-3,4,-1,4,0,0,0,0,13,5,2,0,0,0,0,0,84,22,11,140,0,35
20,"David","Aardsma","",58,"1981-12-27",20170,206,215,191,6,0,6,0,18256,29,0,0,0,0,92,88,87,88,1,28,1,5,14,7,14,29,22,0,0,0,0,0,0,2,2,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,-3,-4,4,2,-5,5,2,-1,-1,12,4,3,1,7,1,-5,4,45,6,26,89,0,24
21,"Ed","Creech","",87,"1952-12-29",55211,206,200,185,6,31,6,0,0,6,0,0,0,0,141,134,133,141,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,3,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,-2,-2,4,-3,-3,0,0,0,0,13,3,2,2,0,0,0,0,77,0,0,139,0,21
22,"Mark","Parent","",78,"1961-9-16",4434,206,225,196,1,15,2,0,12923,0,0,0,0,0,0,0,0,0,3,111,25,83,81,72,125,119,163,0,0,0,0,0,1,2,3,3,0,77,0,0,0,0,3,3,2,-4,1,0,3,0,2,0,-1,-1,0,-1,-1,-1,0,0,2,0,0,3,0,-5,0,0,2,-3,0,9,4,0,0,0,0,12,4,3,1,0,0,0,0,118,53,117,0,0,90
23,"Jacob","Marceaux","",56,"1984-2-14",15766,206,195,185,4,0,4,0,21666,0,0,0,0,0,24,14,28,23,0,28,151,18,5,5,131,124,166,0,0,0,0,0,0,2,3,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,1,-9,-3,9,3,2,-1,14,5,1,0,-3,-6,0,-1,61,148,56,22,0,40
24,"Ted","Kubiak","",98,"1942-5-12",55066,206,175,183,1,20,2,0,9888,0,0,0,0,0,38,0,0,0,1,85,55,23,30,21,109,108,153,0,0,0,0,0,2,3,3,3,0,104,0,0,0,0,-1,2,3,1,4,2,-1,0,2,0,-3,-1,0,-3,0,-4,0,0,1,0,0,3,0,-5,0,0,-8,-2,3,1,-3,0,0,0,0,14,3,3,0,0,0,0,0,99,72,95,13,0,66
25,"Mickey","Callaway","",65,"1975-5-13",49583,206,190,188,4,8,4,0,4170,0,0,0,0,0,0,0,0,0,4,4,131,86,84,99,44,48,127,0,0,0,0,0,0,0,3,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,1,-3,-5,0,-3,0,0,0,0,13,3,3,1,0,0,0,0,110,117,21,0,0,73
26,"Keenan","Bell","",42,"1997-9-17",34776,206,257,183,1,0,2,0,28471,0,0,0,0,0,9,14,23,12,1,119,102,97,109,111,83,103,125,0,0,0,0,0,5,4,3,3,0,74,0,0,0,0,3,3,2,3,3,-1,-2,-2,3,0,0,1,-1,1,1,3,1,3,3,3,2,3,3,-1,0,0,5,4,4,-3,-6,-1,1,0,-1,13,5,1,1,-7,0,1,6,105,102,115,13,0,97
27,"Aaron","Lowenstein","",55,"1985-6-9",41955,206,195,185,5,0,5,0,29656,0,0,0,0,0,15,10,8,16,1,130,34,22,27,26,86,135,154,0,0,0,0,0,0,2,3,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,4,-6,-5,0,0,-1,12,3,3,2,1,7,-1,0,62,57,129,13,0,45
28,"Brooks","Pounders","",49,"1990-9-26",66644,206,263,196,6,0,6,0,30175,26,0,0,0,0,68,95,61,87,2,61,47,1,1,1,24,10,19,0,0,0,0,0,0,2,3,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-3,8,1,4,7,2,0,0,12,5,3,0,-2,3,-3,-7,55,40,50,80,0,22
29,"Matt","Sulentic","",52,"1987-10-6",19266,206,170,178,1,0,2,0,23431,0,0,0,0,0,2,4,0,16,2,67,96,81,86,73,88,93,145,0,0,0,0,0,5,2,0,3,0,111,0,0,0,0,1,3,3,3,3,-1,-2,-1,3,1,0,0,0,-1,3,2,-1,3,3,3,2,3,3,-1,0,0,0,2,-1,-4,0,-2,3,1,0,11,4,4,1,2,-3,7,-6,93,99,77,7,0,91
30,"Ryan","Kibler","",59,"1980-9-17",51650,36,185,190,4,13,4,0,0,0,0,0,0,0,0,0,0,0,2,18,105,30,31,22,122,87,148,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,3,5,-4,-1,0,0,0,0,13,5,1,1,0,0,0,0,85,109,43,0,0,40
31,"Akeel","Morris","",47,"1992-11-14",18946,202,216,185,6,0,6,0,30648,29,0,0,0,0,83,87,82,100,0,22,5,6,13,1,17,11,16,0,0,0,0,0,0,4,3,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,4,0,-5,2,2,2,-1,13,6,1,0,0,-5,0,4,44,7,20,89,0,24
32,"John","Danks","",55,"1985-4-15",4992,206,214,185,6,0,6,0,18773,36,0,0,0,0,118,100,106,94,1,9,29,21,38,19,4,21,12,0,0,0,0,0,0,3,0,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,2,-4,3,1,2,-1,0,12,5,2,1,1,-7,2,1,65,25,10,105,0,36
33,"Cody","Williams","",42,"1998-5-7",32688,206,200,191,6,0,6,0,28390,26,0,0,0,0,85,67,95,78,1,6,10,15,10,8,26,29,28,0,0,0,0,0,0,4,3,3,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,4,7,1,1,0,14,4,1,1,0,-1,0,-1,54,14,11,80,0,34
34,"Fred","Hayner","",60,"1980-5-23",0,206,190,183,6,0,6,0,8121,39,0,0,0,0,115,129,116,114,4,20,8,41,32,39,1,4,7,0,0,0,0,0,0,2,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,4,-1,-1,2,0,-1,0,14,4,1,1,-5,3,-2,-2,66,7,16,118,0,37
35,"Yorman","Garcia","",46,"1994-3-17",0,210,175,185,6,0,6,0,31341,26,0,0,0,0,75,78,85,74,3,24,10,26,18,15,3,7,2,0,0,0,0,0,0,2,0,3,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,5,2,-5,5,1,2,2,0,11,3,3,3,4,0,6,1,57,9,19,76,0,36
36,"Daniel","Ottone","",52,"1988-1-26",15980,206,240,193,6,0,6,0,31266,26,0,0,0,0,81,88,77,84,1,30,37,5,8,10,12,8,12,0,0,0,0,0,0,2,3,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,-3,4,5,2,0,0,12,3,3,2,3,-4,-9,2,53,30,25,83,0,23
37,"Dan","Castellini","",50,"1989-11-24",13776,206,190,184,9,12,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1,1,0,0,0,0,42,0,0,0,0,2
38,"Matt","Maloney","",56,"1984-1-16",70782,206,210,193,6,0,6,0,21425,40,0,0,0,0,134,170,143,173,4,53,54,1,1,1,36,47,40,0,0,0,0,0,0,1,2,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,-7,-9,-2,4,-2,0,4,1,0,12,4,3,1,-4,-4,-7,5,85,51,50,156,0,25
39,"Tim","Tebow","",52,"1987-8-14",47036,194,264,191,6,0,6,0,22311,33,0,0,0,0,83,108,81,120,4,14,2,11,21,11,30,29,21,0,0,0,0,0,0,4,3,3,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-4,0,4,-9,4,2,0,12,7,1,0,-3,6,-1,-2,63,8,17,101,0,30
40,"Brad","Weaver","",43,"1997-1-1",0,206,166,178,6,0,6,0,25632,26,0,0,0,0,82,79,85,69,2,51,30,5,4,1,23,21,32,0,0,0,0,0,0,4,1,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-1,3,0,1,1,-1,0,13,3,2,2,6,-4,-5,-2,56,29,45,77,0,29
41,"Drew","Thompson","",53,"1986-11-7",86360,206,160,185,1,0,2,0,24758,0,0,0,0,0,38,9,30,6,3,200,176,132,136,138,191,164,146,0,0,0,0,0,1,1,0,3,0,125,0,0,0,0,0,1,0,1,1,1,1,4,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,-3,0,0,1,0,9,-3,-1,-2,1,1,0,13,3,2,2,-5,4,-4,3,153,174,192,20,0,138
42,"Dustin","Birosak","",55,"1985-5-5",24572,206,195,188,4,0,4,0,29682,0,0,0,0,0,22,27,24,35,1,23,138,37,2,16,114,148,79,0,0,0,0,0,0,2,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,-5,-10,-6,3,4,2,-1,15,3,2,0,-4,-6,3,2,58,132,46,28,0,43
43,"Mike","Tyler","",78,"1961-7-25",41955,206,220,187,9,23,13,58,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,8,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,14,4,1,1,0,0,0,0,52,0,0,0,0,2
44,"Chris","Raabe","",46,"1994-2-27",75386,206,210,182,8,6,12,0,0,0,0,0,0,0,0,0,9,0,4,0,0,1,10,5,0,0,1,91,147,93,133,181,0,0,0,0,1,0,190,200,194,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,-1,-2,-5,4,0,0,12,5,3,0,-7,-4,8,1,72,0,0,1,155,2
45,"Nick","Donnelly","",40,"2000-3-22",60713,206,233,185,5,0,5,0,39007,0,0,0,0,0,14,9,8,18,4,95,13,18,21,16,78,60,134,0,0,0,0,0,0,4,2,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,9,-2,1,2,2,0,12,4,2,2,-6,3,-3,5,46,32,94,14,0,31
46,"John","Fisher","",79,"1961-6-1",69999,206,185,185,9,11,13,50,0,0,374000,4,0,0,0,0,0,0,0,0,0,6,1,4,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,12,5,3,0,0,0,0,0,31,0,0,0,0,1
47,"Frank","Francisco","",60,"1979-9-11",71432,56,250,188,2,0,3,0,18155,0,0,0,0,0,20,19,21,28,2,53,57,78,62,78,55,56,132,0,0,0,0,0,1,1,0,2,0,97,0,0,0,0,0,1,-1,-1,-1,-1,-1,2,1,-1,1,0,1,1,-1,-1,1,0,0,-1,1,0,0,-5,0,0,-7,-2,-6,5,-4,-6,2,-2,-1,13,4,2,1,-3,3,-2,3,77,63,60,23,0,85
48,"Marc","Childress","",77,"1963-5-9",49487,206,210,187,9,28,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,12,3,3,2,0,0,0,0,51,0,0,0,0,1
49,"Joe","Caito","",71,"1968-12-22",16658,206,205,187,9,11,13,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,11,4,3,2,0,0,0,0,31,0,0,0,0,1
50,"Dwayne","Struck","",66,"1973-9-3",24475,206,210,193,9,25,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,51,0,0,0,0,0
51,"Sam","Burns","",71,"1968-8-7",32354,206,215,186,9,14,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,12,5,3,0,0,0,0,0,41,0,0,0,0,1
52,"John","Magnuson","",43,"1997-1-1",0,206,167,173,6,0,6,0,27013,29,0,0,0,0,96,77,102,87,3,15,22,16,25,18,5,18,3,0,0,0,0,0,0,2,3,3,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-4,2,5,0,0,0,0,13,4,3,0,-3,1,-1,2,60,19,13,89,0,35
53,"Omari","Duah","",84,"1955-10-26",8182,206,205,183,9,27,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,12,4,2,2,0,0,0,0,50,0,0,0,0,0
54,"Tom","Ricketts","",77,"1963-5-23",57291,206,175,180,9,9,13,36,0,0,112000,1,0,0,0,0,0,0,0,0,0,1,7,3,0,0,10,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,16,2,2,0,0,0,0,0,32,1,1,0,0,2
55,"Cesar","Perez","",47,"1993-3-8",47991,210,190,188,5,0,5,0,30723,0,0,0,0,0,5,1,0,1,1,127,23,34,39,40,102,116,150,0,0,0,0,0,0,4,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,8,4,4,1,1,0,12,3,3,2,3,0,-3,0,63,48,126,2,0,48
56,"Tim","Byrne","",51,"1989-4-9",90733,206,190,186,9,17,13,51,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,6,0,0,1,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,0,0,0,52,0,0,0,0,2
57,"Drayton","McLane Jr.","",103,"1936-7-22",38942,98,225,184,9,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,12,7,1,0,0,0,0,0,41,0,0,0,0,1
58,"Mark","Attanasio","",82,"1957-9-28",0,206,175,179,9,7,13,46,0,0,110000,1,0,0,0,0,0,0,0,0,0,2,8,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,12,4,2,2,0,0,0,0,21,0,0,0,0,1
59,"Grady","Wells","",43,"1997-1-1",0,206,176,183,6,0,6,0,24446,29,0,0,0,0,91,94,86,84,3,29,1,4,15,12,17,20,15,0,0,0,0,0,0,2,1,1,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,-4,4,2,0,0,-2,0,12,3,3,2,7,-7,2,-4,47,5,26,89,0,24
60,"Milver","Reyes","",57,"1982-9-3",69935,210,200,180,5,0,5,0,21391,0,0,0,0,0,14,18,25,11,1,108,46,19,17,10,72,100,138,0,0,0,0,0,3,4,1,0,0,89,0,0,0,0,3,0,1,3,2,0,-1,1,-1,2,3,3,3,3,1,1,0,0,1,2,1,0,1,-5,0,0,-9,-7,0,5,-5,-4,4,-2,-1,13,5,1,1,2,-2,6,2,62,60,107,15,0,51
